PMLE_TEAVM_FUNCTION_SIZE_CENSUS|PASS|artifact_sha256=62f22b44124c1bfe4b8ff7e08e91ab1028470d95c89d7d69a6f8841b3483aef3|artifact_bytes=4401582|functions=4321|reported=200
PMLE_TEAVM_FUNCTION_SIZE|rank=53|name=s_StatusBar__init_|bytes=10565|start=2182523|end=2193087
PMLE_TEAVM_FUNCTION_SIZE|rank=54|name=r_SimpleTextureManager_InitHeadlessDirectories|bytes=10420|start=3723968|end=3734387
PMLE_TEAVM_FUNCTION_SIZE|rank=55|name=d_DoomMain_DoLoadLevel|bytes=10169|start=377948|end=388116
PMLE_TEAVM_FUNCTION_SIZE|rank=56|name=pA_ActionsMovement_SlideMove|bytes=10145|start=1707660|end=1717804
PMLE_TEAVM_FUNCTION_SIZE|rank=57|name=pA_ActionsPathTraverse_PathTraverse|bytes=9795|start=1677013|end=1686807
PMLE_TEAVM_FUNCTION_SIZE|rank=58|name=d_DoomMain__init_|bytes=9418|start=509977|end=519394
PMLE_TEAVM_FUNCTION_SIZE|rank=59|name=jur_Pattern_processTerminal|bytes=9379|start=2136035|end=2145413
PMLE_TEAVM_FUNCTION_SIZE|rank=60|name=d_sounds$musicenum_t__clinit_|bytes=9199|start=3490350|end=3499548
PMLE_TEAVM_FUNCTION_SIZE|rank=61|name=p_BoomLevelLoader_P_LoadZNodes|bytes=8856|start=1316505|end=1325360
PMLE_TEAVM_FUNCTION_SIZE|rank=62|name=d_player_t_PlayerThink|bytes=8848|start=782682|end=791529
PMLE_TEAVM_FUNCTION_SIZE|rank=63|name=d_player_t_GiveAmmo|bytes=8758|start=747977|end=756734
PMLE_TEAVM_FUNCTION_SIZE|rank=64|name=p_BoomLevelLoader_P_LoadBlockMap|bytes=8679|start=1346560|end=1355238
PMLE_TEAVM_FUNCTION_SIZE|rank=65|name=f_Finale_Drawer|bytes=8292|start=2237801|end=2246092
PMLE_TEAVM_FUNCTION_SIZE|rank=66|name=p_BoomLevelLoader_P_LoadSideDefs2|bytes=8203|start=1338355|end=1346557
PMLE_TEAVM_FUNCTION_SIZE|rank=67|name=dme_SimulationEngineReachabilityProbe_initializeMultiplayerGameInternal|bytes=8092|start=160785|end=168876
PMLE_TEAVM_FUNCTION_SIZE|rank=68|name=w_WadLoader_ReadLump|bytes=8019|start=1173056|end=1181074
PMLE_TEAVM_FUNCTION_SIZE|rank=69|name=juz_ZipInputStream_getNextEntry|bytes=7947|start=3060792|end=3068738
PMLE_TEAVM_FUNCTION_SIZE|rank=70|name=pA_ActionsAttacks_ShootTraverse|bytes=7947|start=1778903|end=1786849
PMLE_TEAVM_FUNCTION_SIZE|rank=71|name=pA_ActionsFloors_DoFloor|bytes=7797|start=1518418|end=1526214
PMLE_TEAVM_FUNCTION_SIZE|rank=72|name=jur_Pattern_processRangeExpression|bytes=7743|start=2145416|end=2153158
PMLE_TEAVM_FUNCTION_SIZE|rank=73|name=p_ActiveStates$_clinit_$lambda$_9_75_accept|bytes=7738|start=2468416|end=2476153
PMLE_TEAVM_FUNCTION_SIZE|rank=74|name=d_DoomMain_InitNew0|bytes=7720|start=486621|end=494340
PMLE_TEAVM_FUNCTION_SIZE|rank=75|name=dm_DoomDbMochaAdapter_canonicalStateMaterial|bytes=7657|start=330959|end=338615
PMLE_TEAVM_FUNCTION_SIZE|rank=76|name=d_DoomMain_ArbitrateNetStart|bytes=7638|start=556265|end=563902
PMLE_TEAVM_FUNCTION_SIZE|rank=77|name=pA_ActionsThinkers_SpawnSpecials|bytes=7606|start=1585676|end=1593281
PMLE_TEAVM_FUNCTION_SIZE|rank=78|name=pA_ActionsMobj_DamageMobj|bytes=7572|start=1739576|end=1747147
PMLE_TEAVM_FUNCTION_SIZE|rank=79|name=dme_SimulationEngineReachabilityProbe_renderPlayerFrameBytes|bytes=7541|start=257055|end=264595
PMLE_TEAVM_FUNCTION_SIZE|rank=80|name=r_RendererState_Init|bytes=7400|start=3585094|end=3592493
PMLE_TEAVM_FUNCTION_SIZE|rank=81|name=jl_Character_obtainClasses$$create|bytes=7302|start=146318|end=153619
PMLE_TEAVM_FUNCTION_SIZE|rank=82|name=jn_URLStreamHandler_parseURL|bytes=7276|start=2753324|end=2760599
PMLE_TEAVM_FUNCTION_SIZE|rank=83|name=cjj_InfTree_huft_build|bytes=7265|start=3394931|end=3402195
PMLE_TEAVM_FUNCTION_SIZE|rank=84|name=r_SimpleTextureManager_GetColumnStruct|bytes=7264|start=3757747|end=3765010
PMLE_TEAVM_FUNCTION_SIZE|rank=85|name=pA_ActionsSectors_MovePlane|bytes=7257|start=1574099|end=1581355
PMLE_TEAVM_FUNCTION_SIZE|rank=86|name=s_VanillaDSG_ArchiveSpecials|bytes=7221|start=695205|end=702425
PMLE_TEAVM_FUNCTION_SIZE|rank=87|name=pA_ActionsDoors_VerticalDoor0|bytes=7193|start=1534601|end=1541793
PMLE_TEAVM_FUNCTION_SIZE|rank=88|name=vt_GammaTables__clinit_|bytes=7116|start=4028729|end=4035844
PMLE_TEAVM_FUNCTION_SIZE|rank=89|name=jt_DecimalFormatParser_parseText|bytes=7082|start=3539445|end=3546526
PMLE_TEAVM_FUNCTION_SIZE|rank=90|name=f_EndLevel_updateNetgameStats|bytes=7066|start=1868753|end=1875818
PMLE_TEAVM_FUNCTION_SIZE|rank=91|name=f_Finale_CastTicker|bytes=6971|start=2226163|end=2233133
PMLE_TEAVM_FUNCTION_SIZE|rank=92|name=jl_Double_parseDouble|bytes=6736|start=3035328|end=3042063
PMLE_TEAVM_FUNCTION_SIZE|rank=93|name=r_AbstractThings_RenderMaskedSegRange|bytes=6661|start=3794695|end=3801355
PMLE_TEAVM_FUNCTION_SIZE|rank=94|name=cjj_InfTree__clinit_|bytes=6646|start=3404895|end=3411540
PMLE_TEAVM_FUNCTION_SIZE|rank=95|name=w_InputStreamSugar_createInputStreamFromURI|bytes=6424|start=651911|end=658334
PMLE_TEAVM_FUNCTION_SIZE|rank=96|name=r_SimpleTextureManager_PrecacheLevel|bytes=6404|start=3747046|end=3753449
PMLE_TEAVM_FUNCTION_SIZE|rank=97|name=pA_ActionsMobj_KillMobj|bytes=6392|start=1747150|end=1753541
PMLE_TEAVM_FUNCTION_SIZE|rank=98|name=d_DoomMain_HGetPacket|bytes=6323|start=548970|end=555292
PMLE_TEAVM_FUNCTION_SIZE|rank=99|name=jt_DecimalFormat_formatExponent|bytes=6312|start=3111177|end=3117488
PMLE_TEAVM_FUNCTION_SIZE|rank=100|name=d_DoomMain_CheckDemoStatus|bytes=6295|start=503680|end=509974
PMLE_TEAVM_FUNCTION_SIZE|rank=101|name=otcic_CurrencyHelper_getCountryToCurrencyMap$$create|bytes=6264|start=3272756|end=3279019
PMLE_TEAVM_FUNCTION_SIZE|rank=102|name=pA_ActionsCeilings_MoveCeiling|bytes=6247|start=1554147|end=1560393
PMLE_TEAVM_FUNCTION_SIZE|rank=103|name=jt_DecimalFormat_formatRegular0|bytes=6180|start=3104995|end=3111174
PMLE_TEAVM_FUNCTION_SIZE|rank=104|name=jur_Pattern_processQuantifier|bytes=6166|start=2129867|end=2136032
PMLE_TEAVM_FUNCTION_SIZE|rank=105|name=jn_URL__init_0|bytes=6163|start=2707111|end=2713273
PMLE_TEAVM_FUNCTION_SIZE|rank=106|name=pA_ActionsDoors_VerticalDoor|bytes=6142|start=1547762|end=1553903
PMLE_TEAVM_FUNCTION_SIZE|rank=107|name=pA_ActionTrait_CheckPosition|bytes=6065|start=1388384|end=1394448
PMLE_TEAVM_FUNCTION_SIZE|rank=108|name=f_EndLevel_updateStats|bytes=5976|start=1880385|end=1886360
PMLE_TEAVM_FUNCTION_SIZE|rank=109|name=jl_AbstractStringBuilder_insert2|bytes=5917|start=87346|end=93262
PMLE_TEAVM_FUNCTION_SIZE|rank=110|name=p_BoomLevelLoader_P_LoadLineDefs|bytes=5802|start=1331107|end=1336908
PMLE_TEAVM_FUNCTION_SIZE|rank=111|name=pA_ActionsPlats_DoPlat|bytes=5791|start=1509201|end=1514991
PMLE_TEAVM_FUNCTION_SIZE|rank=112|name=p_BoomLevelLoader_P_LoadThings|bytes=5742|start=1325363|end=1331104
PMLE_TEAVM_FUNCTION_SIZE|rank=113|name=dme_SimulationEngineReachabilityProbe_canonicalOffsetDescription|bytes=5723|start=273081|end=278803
PMLE_TEAVM_FUNCTION_SIZE|rank=114|name=jnci_UTF8Decoder_arrayDecode|bytes=5684|start=3450672|end=3456355
PMLE_TEAVM_FUNCTION_SIZE|rank=115|name=pAA_Ai_A_Chase|bytes=5652|start=1810303|end=1815954
PMLE_TEAVM_FUNCTION_SIZE|rank=116|name=pAAM_Bosses_A_BossDeath|bytes=5621|start=1787140|end=1792760
PMLE_TEAVM_FUNCTION_SIZE|rank=117|name=p_BoomLevelLoader_P_LoadVertexes2|bytes=5589|start=1239120|end=1244708
PMLE_TEAVM_FUNCTION_SIZE|rank=118|name=jt_DecimalFormat__init_|bytes=5551|start=3091845|end=3097395
PMLE_TEAVM_FUNCTION_SIZE|rank=119|name=d_DoomMain_DoPlayDemo|bytes=5542|start=498136|end=503677
PMLE_TEAVM_FUNCTION_SIZE|rank=120|name=jur_Pattern_processExpression|bytes=5531|start=2116878|end=2122408
PMLE_TEAVM_FUNCTION_SIZE|rank=121|name=jl_AbstractStringBuilder_insert4|bytes=5477|start=81867|end=87343
PMLE_TEAVM_FUNCTION_SIZE|rank=122|name=dme_SimulationEngineReachabilityProbe_stepMultiplayerAuthoritative|bytes=5453|start=172381|end=177833
PMLE_TEAVM_FUNCTION_SIZE|rank=123|name=d_DoomMain_GenerateTitle|bytes=5413|start=372533|end=377945
PMLE_TEAVM_FUNCTION_SIZE|rank=124|name=jt_DecimalFormatParser_parseNumber|bytes=5410|start=3546529|end=3551938
PMLE_TEAVM_FUNCTION_SIZE|rank=125|name=r_RendererState$BSP_ClipSolidWallSegment|bytes=5362|start=3681077|end=3686438
PMLE_TEAVM_FUNCTION_SIZE|rank=126|name=jt_DecimalFormat_formatRegular|bytes=5359|start=3118037|end=3123395
PMLE_TEAVM_FUNCTION_SIZE|rank=127|name=d_player_t_PlayerInSpecialSector|bytes=5355|start=761805|end=767159
PMLE_TEAVM_FUNCTION_SIZE|rank=128|name=dme_SimulationEngineReachabilityProbe_presentationDiagnostic|bytes=5333|start=267331|end=272663
PMLE_TEAVM_FUNCTION_SIZE|rank=129|name=r_patch_t_unpack|bytes=5333|start=593200|end=598532
PMLE_TEAVM_FUNCTION_SIZE|rank=130|name=jt_DecimalFormat_formatExponent0|bytes=5259|start=3099734|end=3104992
PMLE_TEAVM_FUNCTION_SIZE|rank=131|name=pA_ActionsSpawns_SpawnPlayer|bytes=5243|start=1625102|end=1630344
PMLE_TEAVM_FUNCTION_SIZE|rank=132|name=r_RendererState_ExecuteSetViewSize|bytes=5201|start=3579832|end=3585032
PMLE_TEAVM_FUNCTION_SIZE|rank=133|name=d_DoomMain_DoLoadGame|bytes=5162|start=476514|end=481675
PMLE_TEAVM_FUNCTION_SIZE|rank=134|name=d_DoomMain_DoCompleted|bytes=5146|start=471366|end=476511
PMLE_TEAVM_FUNCTION_SIZE|rank=135|name=pA_ActionsFloors_PlatRaise|bytes=5116|start=1529438|end=1534553
PMLE_TEAVM_FUNCTION_SIZE|rank=136|name=pA_ActionsSpawns_SpawnMapThing|bytes=5099|start=1630347|end=1635445
PMLE_TEAVM_FUNCTION_SIZE|rank=137|name=r_SimpleTextureManager_GenerateLookup|bytes=5096|start=3737366|end=3742461
PMLE_TEAVM_FUNCTION_SIZE|rank=138|name=jni_XHRURLConnection_getInputStream|bytes=5065|start=2983925|end=2988989
PMLE_TEAVM_FUNCTION_SIZE|rank=139|name=p_BoomLevelLoader_P_CheckLevelWadStructure|bytes=5053|start=1362072|end=1367124
PMLE_TEAVM_FUNCTION_SIZE|rank=140|name=pAA_Weapons_A_WeaponReady|bytes=5050|start=1820329|end=1825378
PMLE_TEAVM_FUNCTION_SIZE|rank=141|name=vt_ColorTint__clinit_|bytes=5036|start=4023357|end=4028392
PMLE_TEAVM_FUNCTION_SIZE|rank=142|name=r_UnifiedRenderer$Indexed__init_0|bytes=4967|start=3613998|end=3618964
PMLE_TEAVM_FUNCTION_SIZE|rank=143|name=jnfi_DefaultFileSystemProvider_newOutputStream|bytes=4924|start=3963839|end=3968762
PMLE_TEAVM_FUNCTION_SIZE|rank=144|name=d_DoomMain_QuitNetGame|bytes=4868|start=568066|end=572933
PMLE_TEAVM_FUNCTION_SIZE|rank=145|name=jur_Pattern_processSubExpression|bytes=4825|start=2125040|end=2129864
PMLE_TEAVM_FUNCTION_SIZE|rank=146|name=jusi_FlatMappingIntStreamImpl_next|bytes=4769|start=4039563|end=4044331
PMLE_TEAVM_FUNCTION_SIZE|rank=147|name=f_AbstractEndLevel__clinit_|bytes=4752|start=1838291|end=1843042
PMLE_TEAVM_FUNCTION_SIZE|rank=148|name=dme_SimulationEngineReachabilityProbe_memoryDiagnostic|bytes=4731|start=252322|end=257052
PMLE_TEAVM_FUNCTION_SIZE|rank=149|name=ju_Formatter$FormatWriter_formatFloat|bytes=4693|start=2522051|end=2526743
PMLE_TEAVM_FUNCTION_SIZE|rank=150|name=pA_ActionsThings_CheckThing|bytes=4693|start=1644786|end=1649478
PMLE_TEAVM_FUNCTION_SIZE|rank=151|name=dme_SimulationEngineReachabilityProbe_snapshot|bytes=4649|start=280296|end=284944
PMLE_TEAVM_FUNCTION_SIZE|rank=152|name=ju_Formatter$FormatWriter_parseFormatSpecifier|bytes=4536|start=2537279|end=2541814
PMLE_TEAVM_FUNCTION_SIZE|rank=153|name=otcit_DoubleAnalyzer_analyze|bytes=4528|start=3193543|end=3198070
PMLE_TEAVM_FUNCTION_SIZE|rank=154|name=s_StatusBar_createWidgets|bytes=4490|start=2213146|end=2217635
PMLE_TEAVM_FUNCTION_SIZE|rank=155|name=pAAM_Viles_A_VileChase|bytes=4461|start=1805144|end=1809604
PMLE_TEAVM_FUNCTION_SIZE|rank=156|name=jm_Division_divide|bytes=4452|start=3847164|end=3851615
PMLE_TEAVM_FUNCTION_SIZE|rank=157|name=pA_ActionsMissiles_SpawnPlayerMissile|bytes=4451|start=1759646|end=1764096
PMLE_TEAVM_FUNCTION_SIZE|rank=158|name=r_RendererState$BSP_AddLine|bytes=4396|start=3691138|end=3695533
PMLE_TEAVM_FUNCTION_SIZE|rank=159|name=otcit_FloatAnalyzer_analyze|bytes=4364|start=3956060|end=3960423
PMLE_TEAVM_FUNCTION_SIZE|rank=160|name=ji_InputStreamReader_ensureBufferHasData|bytes=4351|start=3023898|end=3028248
PMLE_TEAVM_FUNCTION_SIZE|rank=161|name=juz_ZipInputStream_read|bytes=4339|start=3068741|end=3073079
PMLE_TEAVM_FUNCTION_SIZE|rank=162|name=p_BoomLevelLoader_P_GetNodesVersion|bytes=4283|start=1232855|end=1237137
PMLE_TEAVM_FUNCTION_SIZE|rank=163|name=f_Finale_StartFinale|bytes=4262|start=2219910|end=2224171
PMLE_TEAVM_FUNCTION_SIZE|rank=164|name=f_Finale_BunnyScroll|bytes=4229|start=2233570|end=2237798
PMLE_TEAVM_FUNCTION_SIZE|rank=165|name=r_UnifiedRenderer$Indexed_R_InitDrawingFunctions|bytes=4207|start=3619376|end=3623582
PMLE_TEAVM_FUNCTION_SIZE|rank=166|name=d_DoomMain_CheckNetGame|bytes=4159|start=563905|end=568063
PMLE_TEAVM_FUNCTION_SIZE|rank=167|name=dme_PresentationEngineReachabilityProbe_renderPlayerFrameCompressed$exported$12|bytes=4156|start=117543|end=121698
PMLE_TEAVM_FUNCTION_SIZE|rank=168|name=juz_ZipInputStream_closeEntry|bytes=4127|start=3055558|end=3059684
PMLE_TEAVM_FUNCTION_SIZE|rank=169|name=vg_Wipers$WipeFunc__clinit_|bytes=4110|start=3030645|end=3034754
PMLE_TEAVM_FUNCTION_SIZE|rank=170|name=pA_ActionsTeleportation_TeleportMove|bytes=4102|start=1735428|end=1739529
PMLE_TEAVM_FUNCTION_SIZE|rank=171|name=jm_BigDecimal_precision|bytes=4082|start=3137580|end=3141661
PMLE_TEAVM_FUNCTION_SIZE|rank=172|name=f_EndLevel_drawNetgameStats|bytes=4072|start=1875821|end=1879892
PMLE_TEAVM_FUNCTION_SIZE|rank=173|name=jnci_UTF8Encoder_arrayEncode|bytes=4026|start=3559437|end=3563462
PMLE_TEAVM_FUNCTION_SIZE|rank=174|name=d_DoomMain_HSendPacket|bytes=4013|start=544955|end=548967
PMLE_TEAVM_FUNCTION_SIZE|rank=175|name=jt_DecimalFormatParser_parseIntegerPart|bytes=4001|start=3551941|end=3555941
PMLE_TEAVM_FUNCTION_SIZE|rank=176|name=pA_ActionsMovement_TryMove|bytes=3998|start=1691936|end=1695933
PMLE_TEAVM_FUNCTION_SIZE|rank=177|name=jt_DecimalFormat_applyRounding|bytes=3965|start=3126425|end=3130389
PMLE_TEAVM_FUNCTION_SIZE|rank=178|name=r_VisSprites_ProjectSprite|bytes=3951|start=3786915|end=3790865
PMLE_TEAVM_FUNCTION_SIZE|rank=179|name=d_player_t_CheckAmmo|bytes=3947|start=778733|end=782679
PMLE_TEAVM_FUNCTION_SIZE|rank=180|name=r_SimpleTextureManager_InitFlats|bytes=3944|start=3743100|end=3747043
PMLE_TEAVM_FUNCTION_SIZE|rank=181|name=r_RendererState_PreCacheThinkers|bytes=3932|start=3595428|end=3599359
PMLE_TEAVM_FUNCTION_SIZE|rank=182|name=jm_BigDecimal__clinit_|bytes=3908|start=3142765|end=3146672
PMLE_TEAVM_FUNCTION_SIZE|rank=183|name=rd_R_DrawColumnBoomLow$Indexed_invoke|bytes=3880|start=3943443|end=3947322
PMLE_TEAVM_FUNCTION_SIZE|rank=184|name=pA_ActionsDoors_DoDoor|bytes=3852|start=1543908|end=1547759
PMLE_TEAVM_FUNCTION_SIZE|rank=185|name=pA_ActionsCeilings_DoCeiling|bytes=3850|start=1560396|end=1564245
PMLE_TEAVM_FUNCTION_SIZE|rank=186|name=jl_Long_parseLongImpl|bytes=3832|start=803428|end=807259
PMLE_TEAVM_FUNCTION_SIZE|rank=187|name=p_mobj_t_ZMovement|bytes=3823|start=630981|end=634803
PMLE_TEAVM_FUNCTION_SIZE|rank=188|name=jl_Integer_parseIntImpl|bytes=3808|start=70812|end=74619
PMLE_TEAVM_FUNCTION_SIZE|rank=189|name=rd_R_DrawColumnBoomOptLow$Indexed_invoke|bytes=3779|start=3935722|end=3939500
PMLE_TEAVM_FUNCTION_SIZE|rank=190|name=pA_ActionsSectors$ChangeSector$lambda$_3_0_test|bytes=3756|start=4092759|end=4096514
PMLE_TEAVM_FUNCTION_SIZE|rank=191|name=p_BoomLevelLoader_P_LoadNodes|bytes=3750|start=1298902|end=1302651
PMLE_TEAVM_FUNCTION_SIZE|rank=192|name=pA_ActionsSight_CrossSubsector|bytes=3749|start=1618612|end=1622360
PMLE_TEAVM_FUNCTION_SIZE|rank=193|name=f_EndLevel_Ticker|bytes=3736|start=1889411|end=1893146
PMLE_TEAVM_FUNCTION_SIZE|rank=194|name=pAAM_Skels_A_Tracer|bytes=3723|start=1801333|end=1805055
PMLE_TEAVM_FUNCTION_SIZE|rank=195|name=p_ActionFunctions__init_|bytes=3713|start=1826625|end=1830337
PMLE_TEAVM_FUNCTION_SIZE|rank=196|name=s_StatusBar|bytes=3709|start=2177530|end=2181238
PMLE_TEAVM_FUNCTION_SIZE|rank=197|name=pA_ActionsTeleportation_Teleport|bytes=3698|start=1731728|end=1735425
PMLE_TEAVM_FUNCTION_SIZE|rank=198|name=pA_ActionsSlideDoors_SlidingDoor|bytes=3692|start=1567200|end=1570891
PMLE_TEAVM_FUNCTION_SIZE|rank=199|name=vt_Playpal__clinit_|bytes=3674|start=4014412|end=4018085
PMLE_TEAVM_FUNCTION_SIZE|rank=200|name=u_ParseString_parseString|bytes=3650|start=2977755|end=2981404
