PMLE_TEAVM_FUNCTION_SIZE_CENSUS|PASS|artifact_sha256=3f2ed95e6afa1d9fdbb2b60e58fb2b4709f844e0010adb273285caac4c6ed117|artifact_bytes=4401578|functions=4321|reported=100
PMLE_TEAVM_FUNCTION_SIZE|rank=53|name=s_StatusBar__init_|bytes=10565|start=2182523|end=2193087
PMLE_TEAVM_FUNCTION_SIZE|rank=54|name=r_SimpleTextureManager_InitHeadlessDirectories|bytes=10420|start=3723968|end=3734387
PMLE_TEAVM_FUNCTION_SIZE|rank=55|name=d_DoomMain_DoLoadLevel|bytes=10169|start=377948|end=388116
PMLE_TEAVM_FUNCTION_SIZE|rank=56|name=pA_ActionsMovement_SlideMove|bytes=10145|start=1707660|end=1717804
PMLE_TEAVM_FUNCTION_SIZE|rank=57|name=pA_ActionsPathTraverse_PathTraverse|bytes=9795|start=1677013|end=1686807
PMLE_TEAVM_FUNCTION_SIZE|rank=58|name=d_DoomMain__init_|bytes=9418|start=509977|end=519394
PMLE_TEAVM_FUNCTION_SIZE|rank=59|name=jur_Pattern_processTerminal|bytes=9379|start=2136035|end=2145413
PMLE_TEAVM_FUNCTION_SIZE|rank=60|name=d_sounds$musicenum_t__clinit_|bytes=9199|start=3490350|end=3499548
PMLE_TEAVM_FUNCTION_SIZE|rank=61|name=p_BoomLevelLoader_P_LoadZNodes|bytes=8856|start=1316505|end=1325360
PMLE_TEAVM_FUNCTION_SIZE|rank=62|name=d_player_t_PlayerThink|bytes=8848|start=782682|end=791529
PMLE_TEAVM_FUNCTION_SIZE|rank=63|name=d_player_t_GiveAmmo|bytes=8758|start=747977|end=756734
PMLE_TEAVM_FUNCTION_SIZE|rank=64|name=p_BoomLevelLoader_P_LoadBlockMap|bytes=8679|start=1346560|end=1355238
PMLE_TEAVM_FUNCTION_SIZE|rank=65|name=f_Finale_Drawer|bytes=8292|start=2237801|end=2246092
PMLE_TEAVM_FUNCTION_SIZE|rank=66|name=p_BoomLevelLoader_P_LoadSideDefs2|bytes=8203|start=1338355|end=1346557
PMLE_TEAVM_FUNCTION_SIZE|rank=67|name=dme_SimulationEngineReachabilityProbe_initializeMultiplayerGameInternal|bytes=8092|start=160785|end=168876
PMLE_TEAVM_FUNCTION_SIZE|rank=68|name=w_WadLoader_ReadLump|bytes=8019|start=1173056|end=1181074
PMLE_TEAVM_FUNCTION_SIZE|rank=69|name=juz_ZipInputStream_getNextEntry|bytes=7947|start=3060792|end=3068738
PMLE_TEAVM_FUNCTION_SIZE|rank=70|name=pA_ActionsAttacks_ShootTraverse|bytes=7947|start=1778903|end=1786849
PMLE_TEAVM_FUNCTION_SIZE|rank=71|name=pA_ActionsFloors_DoFloor|bytes=7797|start=1518418|end=1526214
PMLE_TEAVM_FUNCTION_SIZE|rank=72|name=jur_Pattern_processRangeExpression|bytes=7743|start=2145416|end=2153158
PMLE_TEAVM_FUNCTION_SIZE|rank=73|name=p_ActiveStates$_clinit_$lambda$_9_75_accept|bytes=7738|start=2468416|end=2476153
PMLE_TEAVM_FUNCTION_SIZE|rank=74|name=d_DoomMain_InitNew0|bytes=7720|start=486621|end=494340
PMLE_TEAVM_FUNCTION_SIZE|rank=75|name=dm_DoomDbMochaAdapter_canonicalStateMaterial|bytes=7657|start=330959|end=338615
PMLE_TEAVM_FUNCTION_SIZE|rank=76|name=d_DoomMain_ArbitrateNetStart|bytes=7638|start=556265|end=563902
PMLE_TEAVM_FUNCTION_SIZE|rank=77|name=pA_ActionsThinkers_SpawnSpecials|bytes=7606|start=1585676|end=1593281
PMLE_TEAVM_FUNCTION_SIZE|rank=78|name=pA_ActionsMobj_DamageMobj|bytes=7572|start=1739576|end=1747147
PMLE_TEAVM_FUNCTION_SIZE|rank=79|name=dme_SimulationEngineReachabilityProbe_renderPlayerFrameBytes|bytes=7541|start=257055|end=264595
PMLE_TEAVM_FUNCTION_SIZE|rank=80|name=r_RendererState_Init|bytes=7400|start=3585094|end=3592493
PMLE_TEAVM_FUNCTION_SIZE|rank=81|name=jl_Character_obtainClasses$$create|bytes=7302|start=146318|end=153619
PMLE_TEAVM_FUNCTION_SIZE|rank=82|name=jn_URLStreamHandler_parseURL|bytes=7276|start=2753324|end=2760599
PMLE_TEAVM_FUNCTION_SIZE|rank=83|name=cjj_InfTree_huft_build|bytes=7265|start=3394931|end=3402195
PMLE_TEAVM_FUNCTION_SIZE|rank=84|name=r_SimpleTextureManager_GetColumnStruct|bytes=7264|start=3757747|end=3765010
PMLE_TEAVM_FUNCTION_SIZE|rank=85|name=pA_ActionsSectors_MovePlane|bytes=7257|start=1574099|end=1581355
PMLE_TEAVM_FUNCTION_SIZE|rank=86|name=s_VanillaDSG_ArchiveSpecials|bytes=7221|start=695205|end=702425
PMLE_TEAVM_FUNCTION_SIZE|rank=87|name=pA_ActionsDoors_VerticalDoor0|bytes=7193|start=1534601|end=1541793
PMLE_TEAVM_FUNCTION_SIZE|rank=88|name=vt_GammaTables__clinit_|bytes=7116|start=4028729|end=4035844
PMLE_TEAVM_FUNCTION_SIZE|rank=89|name=jt_DecimalFormatParser_parseText|bytes=7082|start=3539445|end=3546526
PMLE_TEAVM_FUNCTION_SIZE|rank=90|name=f_EndLevel_updateNetgameStats|bytes=7066|start=1868753|end=1875818
PMLE_TEAVM_FUNCTION_SIZE|rank=91|name=f_Finale_CastTicker|bytes=6971|start=2226163|end=2233133
PMLE_TEAVM_FUNCTION_SIZE|rank=92|name=jl_Double_parseDouble|bytes=6736|start=3035328|end=3042063
PMLE_TEAVM_FUNCTION_SIZE|rank=93|name=r_AbstractThings_RenderMaskedSegRange|bytes=6661|start=3794695|end=3801355
PMLE_TEAVM_FUNCTION_SIZE|rank=94|name=cjj_InfTree__clinit_|bytes=6646|start=3404895|end=3411540
PMLE_TEAVM_FUNCTION_SIZE|rank=95|name=w_InputStreamSugar_createInputStreamFromURI|bytes=6424|start=651911|end=658334
PMLE_TEAVM_FUNCTION_SIZE|rank=96|name=r_SimpleTextureManager_PrecacheLevel|bytes=6404|start=3747046|end=3753449
PMLE_TEAVM_FUNCTION_SIZE|rank=97|name=pA_ActionsMobj_KillMobj|bytes=6392|start=1747150|end=1753541
PMLE_TEAVM_FUNCTION_SIZE|rank=98|name=d_DoomMain_HGetPacket|bytes=6323|start=548970|end=555292
PMLE_TEAVM_FUNCTION_SIZE|rank=99|name=jt_DecimalFormat_formatExponent|bytes=6312|start=3111177|end=3117488
PMLE_TEAVM_FUNCTION_SIZE|rank=100|name=d_DoomMain_CheckDemoStatus|bytes=6295|start=503680|end=509974
